id;keyword_en;required_context_en;forbidden_context_en;keyword_de;required_context_de;forbidden_context_de;keyword_fr;required_context_fr;forbidden_context_fr;keyword_it;required_context_it;forbidden_context_it
c1;economic reform policy;;;wirtschaftliche Reformpolitik;;;politique de réforme économique;;;politica di riforma economica;;
c2;political inclusion;;;politische Eingliederung;;;inclusion politique;;;inclusione politica;;
c3;social protection policy;;;Politik des sozialen Schutzes;;;politique de protection sociale;;;politica di protezione sociale;;
c4;social protection policies;immigration;;Sozialschutzpolitik;Einwanderung;;politiques de protection sociale;immigration;;politiche di protezione sociale;immigrazione;
c5;social protection policies;;chemistry;Sozialschutzpolitik;;Chemie;politiques de protection sociale;;chimie;politiche di protezione sociale;;chimica
c6;social protection policies;;disease;Sozialschutzpolitik;;Krankheit;politiques de protection sociale;;maladie;politiche di protezione sociale;;malattia
c7;social protection policies;;biodiversity;Sozialschutzpolitik;;Artenvielfalt;politiques de protection sociale;;biodiversité;politiche di protezione sociale;;biodiversità
c8;emigration;;chemistry;Auswanderung;;Chemie;émigration;;chimie;emigrazione;;chimica
c9;emigration;;disease;Auswanderung;;Krankheit;émigration;;les maladies;emigrazione;;malattia
c10;emigration;;biodiversity;Auswanderung;;biologische Vielfalt;émigration;;biodiversité;emigrazione;;biodiversità
c11;foreign direct investment;;;ausländische Direktinvestitionen;;;investissement direct étranger;;;investimenti diretti esteri;;
c12;development gap;;;Entwicklungsrückstand;;;écart de développement;;;gap di sviluppo;;
c13;migrant remittance;;;Rücküberweisungen von Migranten;;;transfert de fonds des migrants;;;rimessa dei migranti;;
c14;responsible migration;;;Verantwortungsvolle Migration;;;migration responsable;;;migrazione responsabile;;
c15;migration policy;;;Migrationspolitik;;;politique migratoire;;;politiche migratorie;;
c16;north-south divide;;;Nord-Süd-Gefälle;;;fracture nord-sud;;;divario nord-sud;;
c17;developing;tariff;;Entwicklung;Tarif;;en développement;tarifaire;;in via di sviluppo;tariffa;
c18;developing;zero-tariff;;Entwicklung;Nullzollsatz;;en développement;tarif zéro;;in via di sviluppo;tariffa zero;
c19;developing;duty-free access;;Entwicklung;zollfreier Zugang;;en développement;accès en franchise de droits;;in via di sviluppo;accesso in franchigia doganale;
c20;social exclusion;;;soziale Ausgrenzung;;;exclusion sociale;;;esclusione sociale;;
c21;economic marginalization;;;wirtschaftliche Marginalisierung;;;marginalisation économique;;;emarginazione economica;;
c22;income inequality;;;Einkommensungleichheit;;;inégalité de revenus;;;disuguaglianza di reddito;;
c23;discriminatory law;;;diskriminierendes Recht;;;loi discriminatoire;;;legge discriminatoria;;
c24;discriminatory policy;;;diskriminierende Politik;;;politique discriminatoire;;;politica discriminatoria;;
c25;economic empowerment;;;wirtschaftliches Empowerment;;;autonomisation économique;;;empowerment economico;;
c26;economic transformation;;;wirtschaftlicher Wandel;;;transformation économique;;;trasformazione economica;;
c27;global market;empowerment;;Weltmarkt;Ermächtigung;;marché mondial;autonomisation;;mercato globale;potenziamento;
